NAME,ADDRESS,CITY,STATE
THOMAS E. CREEK DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,6010 AMARILLO BOULEVARD WEST,AMARILLO,TX
ROYAL C. JOHNSON VETERANS' MEMORIAL HOSPITAL,2501 WEST 22ND STREET,SIOUX FALLS,SD
FARGO VA MEDICAL CENTER,2101 ELM STREET NORTH,FARGO,ND
ROBERT J. DOLE DEPARTMENT OF VETERANS AFFAIRS MEDICAL AND REGIONAL OFFICE CENTER,5500 EAST KELLOGG DRIVE,WICHITA,KS
OKLAHOMA CITY VA MEDICAL CENTER,921 NORTHEAST 13TH STREET,OKLAHOMA CITY,OK
OMAHA VA MEDICAL CENTER,4101 WOOLWORTH AVENUE,OMAHA,NE
COLMERY - O'NEIL VETERANS' ADMINISTRATION MEDICAL CENTER,2200 SOUTHWEST GAGE BOULEVARD,TOPEKA,KS
DWIGHT D. EISENHOWER DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,4101 4TH STREET TRAFFICWAY,LEAVENWORTH,KS
DALLAS VA MEDICAL CENTER,4500 SOUTH LANCASTER ROAD,DALLAS,TX
KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BOULEVARD,KANSAS CITY,MO
JACK C. MONTGOMERY DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,1011 HONOR HEIGHTS DRIVE,MUSKOGEE,OK
AUDIE L. MURPHY MEMORIAL VETERANS' HOSPITAL,7400 MERTON MINTER BOULEVARD,SAN ANTONIO,TX
OLIN E. TEAGUE VETERANS' CENTER,1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX
DES MOINES VA MEDICAL CENTER,3600 30TH STREET,DES MOINES,IA
MINNEAPOLIS VA MEDICAL CENTER,1 VETERANS DRIVE,MINNEAPOLIS,MN
FAYETTEVILLE VA MEDICAL CENTER,1100 NORTH COLLEGE AVENUE,FAYETTEVILLE,AR
HARRY S. TRUMAN MEMORIAL VETERANS' HOSPITAL,800 HOSPITAL DRIVE,COLUMBIA,MO
IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA
MICHAEL E. DEBAKEY DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,2002 HOLCOMBE BOULEVARD,HOUSTON,TX
OVERTON BROOKS VETERANS' ADMINISTRATION MEDICAL CENTER,510 EAST STONER AVENUE,SHREVEPORT,LA
JOHN L. MCCLELLAN MEMORIAL VETERANS' HOSPITAL,4300 WEST SEVENTH STREET,LITTLE ROCK,AR
JOHN J. COCHRAN VETERANS HOSPITAL,915 NORTH GRAND BOULEVARD,ST. LOUIS,MO
WILLIAM S. MIDDLETON MEMORIAL VETERANS' HOSPITAL,2500 OVERLOOK TERRACE,MADISON,WI
MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN
MARION VA MEDICAL CENTER,2401 WEST MAIN STREET,MARION,IL
G.V. - SONNY - MONTGOMERY DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,1500 EAST WOODROW WILSON AVENUE,JACKSON,MS
CLEMENT J. ZABLOCKI VETERANS' ADMINISTRATION MEDICAL CENTER,5000 WEST NATIONAL AVENUE,MILWAUKEE,WI
EDWARD HINES JUNIOR HOSPITAL,5000 SOUTH 5TH AVENUE,HINES,IL
JESSE BROWN DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,820 SOUTH DAMEN AVENUE,CHICAGO,IL
NEW ORLEANS VA MEDICAL CENTER,2400 CANAL STREET,NEW ORLEANS,LA
BILOXI VA MEDICAL CENTER,400 VETERANS AVENUE,BILOXI,MS
RICHARD L. ROUDEBUSH VETERANS' ADMINISTRATION MEDICAL CENTER,1481 WEST TENTH STREET,INDIANAPOLIS,IN
NASHVILLE VA MEDICAL CENTER,1310 24TH AVENUE SOUTH,NASHVILLE,TN
ROBLEY REX DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,800 ZORN AVENUE,LOUISVILLE,KY
BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL
FORT WAYNE VA MEDICAL CENTER,2121 LAKE AVENUE,FORT WAYNE,IN
CENTRAL ALABAMA VA MEDICAL CENTER - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL
CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,CINCINNATI,OH
TROY BOWLING CAMPUS,1101 VETERANS DRIVE,LEXINGTON,KY
DAYTON VA MEDICAL CENTER,4100 WEST THIRD STREET,DAYTON,OH
LIEUTENANT COLONEL CHARLES S. KETTLES VA MEDICAL CENTER,2215 FULLER ROAD,ANN ARBOR,MI
JOHN D. DINGELL DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,4646 JOHN R STREET,DETROIT,MI
ATLANTA VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA
HERSHEL - WOODY - WILLIAMS VA MEDICAL CENTER,1540 SPRING VALLEY DRIVE,HUNTINGTON,WV
JAMES H. QUILLEN DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,TN
CHARLES GEORGE DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC
LOUIS STOKES CLEVELAND DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,10701 EAST BOULEVARD,CLEVELAND,OH
BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV
CHARLIE NORWOOD DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,950 15TH STREET,AUGUSTA,GA
LAKE CITY VA MEDICAL CENTER,619 SOUTH MARION AVENUE,LAKE CITY,FL
LOUIS A. JOHNSON VETERANS' ADMINISTRATION MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV
PITTSBURGH VA MEDICAL CENTER - UNIVERSITY DRIVE,UNIVERSITY DRIVE C,PITTSBURGH,PA
WM. JENNINGS BRYAN DORN DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC
MALCOM RANDALL DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,1601 SOUTHWEST ARCHER ROAD,GAINESVILLE,FL
W.G. - BILL - HEFNER SALISBURY DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,1601 BRENNER AVENUE,SALISBURY,NC
SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA
C.W. BILL YOUNG DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,10000 BAY PINES BOULEVARD,BAY PINES,FL
JAMES A. HALEY VETERANS' HOSPITAL,13000 BRUCE B DOWNS BOULEVARD,TAMPA,FL
BUFFALO VA MEDICAL CENTER,3495 BAILEY AVENUE,BUFFALO,NY
RALPH H. JOHNSON DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC
DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC
MARTINSBURG VA MEDICAL CENTER,510 BUTLER AVENUE,MARTINSBURG,WV
HUNTER HOLMES MCGUIRE HOSPITAL,1201 BROAD ROCK BOULEVARD,RICHMOND,VA
WASHINGTON VA MEDICAL CENTER,50 IRVING STREET NORTHWEST,WASHINGTON,DC
WEST PALM BEACH VA MEDICAL CENTER,7305 NORTH MILITARY TRAIL,WEST PALM BEACH,FL
BALTIMORE VA MEDICAL CENTER,10 NORTH GREENE STREET,BALTIMORE,MD
LEBANON VA MEDICAL CENTER,1700 SOUTH LINCOLN AVENUE,LEBANON,PA
BRUCE W. CARTER DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,1201 NORTHWEST 16TH STREET,MIAMI,FL
SYRACUSE VA MEDICAL CENTER,800 IRVING AVENUE,SYRACUSE,NY
HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA
WILKES - BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,WILKES-BARRE,PA
WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE
CORPORAL MICHAEL J. CRESCENZ DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,3900 WOODLAND AVENUE,PHILADELPHIA,PA
EAST ORANGE VA MEDICAL CENTER,385 TREMONT AVENUE,EAST ORANGE,NJ
BROOKLYN VA MEDICAL CENTER,800 POLY PLACE,BROOKLYN,NY
MARGARET COCHRAN CORBIN VA CAMPUS,423 EAST 23RD STREET,NEW YORK,NY
JAMES J. PETERS DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY
SAMUEL S. STRATTON DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY
NORTHPORT VA MEDICAL CENTER,"79 MIDDLEVILLE ROAD, BUILDING 200",NORTHPORT,NY
WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT
WHITE RIVER JUNCTION VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT
PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI
WEST ROXBURY VA MEDICAL CENTER,1400 VFW PARKWAY,WEST ROXBURY,MA
TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME
SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,SAN JUAN,PR
BON SECOURS MARY IMMACULATE HOSPITAL,2 BERNARDINE DRIVE,NEWPORT NEWS,VA
UVA TRANSITIONAL CARE HOSPITAL,2965 IVY ROAD,CHARLOTTESVILLE,VA
BON SECOURS ST. FRANCIS MEDICAL CENTER,13700 ST FRANCIS BOULEVARD,MIDLOTHIAN,VA
BON SECOURS SOUTHAMPTON MEMORIAL HOSPITAL,100 FAIRVIEW DRIVE,FRANKLIN,VA
BON SECOURS SOUTHERN VIRGINIA MEDICAL CENTER,727 NORTH MAIN STREET,EMPORIA,VA
BON SECOURS SOUTHSIDE MEDICAL CENTER,200 MEDICAL PARK BOULEVARD,PETERSBURG,VA
CARILION FRANKLIN MEMORIAL HOSPITAL,390 SOUTH MAIN STREET,ROCKY MOUNT,VA
CARILION GILES COMMUNITY HOSPITAL,159 HARTLEY WAY,PEARISBURG,VA
CARILION NEW RIVER VALLEY,2900 LAMB CIRCLE,CHRISTIANSBURG,VA
CARILION ROANOKE COMMUNITY HOSPITAL,101 ELM AVE,ROANOKE,VA
CARILION ROANOKE MEMORIAL HOSPITAL,1906 BELLEVIEW AVE,ROANOKE,VA
CARILION ROCKBRIDGE COMMUNITY HOSPITAL,1 HEALTH CIRCLE,LEXINGTON,VA
CARILION TAZEWELL COMMUNITY HOSPITAL,388 BEN BOLT AVENUE,TAZEWELL,VA
VCU HEALTH TAPPAHANNOCK HOSPITAL,618 HOSPITAL ROAD,TAPPAHANNOCK,VA
CENTRA SPECIALTY HOSPITAL,3300 RIVERMONT AVENUE,LYNCHBURG,VA
UNIVERSITY OF VIRGINIA MEDICAL CENTER,1215 LEE STREET,CHARLOTTESVILLE,VA
AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA
NORTON COMMUNITY HOSPITAL,100 FIFTEENTH STREET NW,NORTON,VA
RUSSELL COUNTY HOSPITAL,"58 CARROLL ST, PO BOX 3600",LEBANON,VA
SMYTH COUNTY COMMUNITY HOSPITAL,245 MEDICAL PARK DRIVE,MARION,VA
WELLMONT LONESOME PINE MT. VIEW HOSPITAL,1990 HOLTON AVENUE EAST,BIG STONE GAP,VA
WELLMONT MT. VIEW REGIONAL MEDICAL CENTER,310 THIRD STREET NE,NORTON,VA
BATH COUNTY COMMUNITY HOSPITAL,"106 PARK DR, PO DRAWER Z",HOT SPRINGS,VA
BUCHANAN GENERAL HOSPITAL,1535 SLATE CREEK ROAD,GRUNDY,VA
BEDFORD MEMORIAL HOSPITAL,1613 OAKWOOD STREET,BEDFORD,VA
BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,8260 ATLEE ROAD,MECHANICSVILLE,VA
BON SECOURS RICHMOND COMMUNITY HOSPITAL,1500 NORTH 28TH STREET,RICHMOND,VA
BON SECOURS ST. MARY'S HOSPITAL,5801 BREMO ROAD,RICHMOND,VA
BON SECOURS DEPAUL MEDICAL CENTER,150 KINGSLEY LANE,NORFOLK,VA
BON SECOURS MARYVIEW MEDICAL CENTER,3636 HIGH STREET,PORTSMOUTH,VA
CARILION MEDICAL CENTER,1906 BELLEVIEW AVENUE,ROANOKE,VA
CENTRA HEALTH,1920 ATHERHOLT ROAD,LYNCHBURG,VA
LYNCHBURG GENERAL HOSPITAL,1901 TATE SPRINGS ROAD,LYNCHBURG,VA
VIRGINIA BAPTIST HOSPITAL,3300 RIVERMONT AVENUE,LYNCHBURG,VA
CENTRA SOUTHSIDE COMMUNITY HOSPITAL,800 OAK STREET,FARMVILLE,VA
CHESAPEAKE REGIONAL MEDICAL CENTER,736 BATTLEFIELD BOULEVARD NORTH,CHESAPEAKE,VA
CHILDREN'S HOSPITAL OF THE KING'S DAUGHTERS,601 CHILDREN'S LANE,NORFOLK,VA
VCU COMMUNITY MEMORIAL HOSPITAL,125 BUENA VISTA CIRCLE,SOUTH HILL,VA
INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,VA
INOVA ALEXANDRIA HOSPITAL,4320 SEMINARY ROAD,ALEXANDRIA,VA
INOVA FAIR OAKS HOSPITAL,3600 JOSEPH SIEWICK DRIVE,FAIRFAX,VA
INOVA LOUDOUN HOSPITAL,44045 RIVERSIDE PARKWAY,LEESBURG,VA
INOVA MOUNT VERNON HOSPITAL,2501 PARKER'S LANE,ALEXANDRIA,VA
JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA
LAKE TAYLOR TRANSITIONAL CARE HOSPITAL,1309 KEMPSVILLE ROAD,NORFOLK,VA
MARY WASHINGTON HOSPITAL,1001 SAM PERRY BOULEVARD,FREDERICKSBURG,VA
STAFFORD HOSPITAL,101 HOSPITAL CENTER BLVD,STAFFORD,VA
DICKENSON COMMUNITY HOSPITAL,312 HOSPITAL DRIVE,CLINTWOOD,VA
NOVANT HEALTH UVA HEALTH SYSTEM HAYMARKET MEDICAL CENTER,15225 HEALTHCOTE BLVD,HAYMARKET,VA
NOVANT HEALTH UVA HEALTH SYSTEM CULPEPER MEDICAL CENTER,501 SUNSET LANE,CULPEPER,VA
NOVANT HEALTH UVA HEALTH SYSTEM PRINCE WILLIAM MEDICAL CENTER,8700 SUDLEY ROAD,MANASSAS,VA
BON SECOURS RAPPAHANNOCK GENERAL HOSPITAL,101 HARRIS ROAD,KILMARNOCK,VA
RIVERSIDE SHORE MEMORIAL HOSPITAL,20480 MARKET STREET,ONANCOCK,VA
RIVERSIDE DOCTORS' HOSPITAL WILLIAMSBURG,1500 COMMONWEALTH AVENUE,WILLIAMSBURG,VA
RIVERSIDE REGIONAL MEDICAL CENTER,500 J CLYDE MORRIS BOULEVARD,NEWPORT NEWS,VA
RIVERSIDE WALTER REED HOSPITAL,ROUTE 17,GLOUCESTER,VA
SENTARA RMH MEDICAL CENTER,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA
SENTARA HALIFAX REGIONAL HOSPITAL,2204 WILBORN AVENUE,SOUTH BOSTON,VA
SENTARA MARTHA JEFFERSON HOSPITAL,500 MARTHA JEFFERSON DRIVE,CHARLOTTESVILLE,VA
SENTARA VIRGINIA BEACH GENERAL HOSPITAL,1060 FIRST COLONIAL ROAD,VIRGINIA BEACH,VA
SENTARA CAREPLEX HOSPITAL,3000 COLISEUM DRIVE,HAMPTON,VA
SENTARA LEIGH HOSPITAL,830 KEMPSVILLE ROAD,NORFOLK,VA
HOSPITAL FOR EXTENDED RECOVERY,"600 GRESHAM DRIVE, SUITE 700",NORFOLK,VA
SENTARA NORFOLK GENERAL HOSPITAL,600 GRESHAM DRIVE,NORFOLK,VA
SENTARA OBICI HOSPITAL,2800 GODWIN BOULEVARD,SUFFOLK,VA
SENTARA PRINCESS ANNE HOSPITAL,2025 GLENN MITCHELL DRIVE,VIRGINIA BEACH,VA
SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,100 SENTARA CIRCLE,WILLIAMSBURG,VA
SENTARA NORTHERN VIRGINIA MEDICAL CENTER,2300 OPITZ BOULEVARD,WOODBRIDGE,VA
SHELTERING ARMS HOSPITAL SOUTH,"13700 ST FRANCIS BLVD, SUITE 400",MIDLOTHIAN,VA
SHELTERING ARMS HOSPITAL,8254 ATLEE ROAD,MECHANICSVILLE,VA
VALLEY HEALTH SHENANDOAH MEMORIAL HOSPITAL,759 SOUTH MAIN STREET,WOODSTOCK,VA
VALLEY HEALTH PAGE MEMORIAL HOSPITAL,200 MEMORIAL DRIVE,LURAY,VA
VALLEY HEALTH WINCHESTER MEDICAL CENTER,1840 AMHERST STREET,WINCHESTER,VA
VALLEY HEALTH WARREN MEMORIAL HOSPITAL,1000 N SHENANDOAH AVENUE,FRONT ROYAL,VA
VCU MEDICAL CENTER - MAIN,1250 EAST MARSHALL STREET,RICHMOND,VA
VIRGINIA HOSPITAL CENTER,1701 N GEORGE MASON DRIVE,ARLINGTON,VA
SHELTERING ARMS INSTITUTE,2000 WILKES RIDGE DRIVE,RICHMOND,VA
CHIPPENHAM HOSPITAL,7101 JAHNKE ROAD,RICHMOND,VA
HENRICO DOCTOR'S HOSPITAL - RETREAT,2621 GROVE AVENUE,RICHMOND,VA
JOHNSTON - WILLIS HOSPITAL,1401 JOHNSTON-WILLIS DR,RICHMOND,VA
"REHABILITATION HOSPITAL OF BRISTOL, LLC",103 NORTH STREET,BRISTOL,VA
SPOTSYLVANIA REGIONAL MEDICAL CENTER,4600 SPOTSYLVANIA PARKWAY,FREDERICKSBURG,VA
LEWISGALE HOSPITAL - ALLEGHANY,1 ARH LANE,LOW MOOR,VA
CJW MEDICAL CENTER,7101 JAHNKE ROAD,RICHMOND,VA
CLINCH VALLEY MEDICAL CENTER,6801 GOV GC PEERY HIGHWAY,RICHLANDS,VA
CUMBERLAND HOSPITAL FOR CHILDREN AND ADOLESCENTS,9407 CUMBERLAND ROAD,NEW KENT,VA
SOVAH HEALTH - DANVILLE,142 SOUTH MAIN STREET,DANVILLE,VA
DOMINION HOSPITAL,2960 SLEEPY HOLLOW ROAD,FALLS CHURCH,VA
ENCOMPASS HEALTH REHAB HOSP OF NORTHERN VIRGINIA,24430 MILLSTREAM DRIVE,ALDIE,VA
UVA ENCOMPASS HEALTH REHABILITATION HOSPITAL,515 RAY C HUNT DRIVE,CHARLOTTESVILLE,VA
FAUQUIER HOSPITAL - HOSPITAL IN NORTHERN VIRGINIA,500 HOSPITAL DRIVE,WARRENTON,VA
ENCOMPASS HEALTH REHAB HOSP OF FREDERICKSBURG,300 PARK HILL DRIVE,FREDERICKSBURG,VA
SELECT SPECIALTY HOSPITAL - HAMPTON ROADS,"4TH FLOOR EAST, 500 J CLYDE MORRIS BOULEVARD",NEWPORT NEWS,VA
HENRICO DOCTORS' HOSPITAL,1602 SKIPWITH ROAD,RICHMOND,VA
JOHN RANDOLPH MEDICAL CENTER,411 W RANDOLPH ROAD,HOPEWELL,VA
ENCOMPASS HEALTH REHAB HOSP OF VIRGINIA,5700 FITZHUGH AVENUE,RICHMOND,VA
ENCOMPASS HEALTH REHAB HOSP OF PETERSBURG,95 MEDICAL PARK BOULEVARD,PETERSBURG,VA
HENRICO DOCTOR'S HOSPITAL - PARHAM DOCTORS' HOSPITAL,7700 EAST PARHAM ROAD,RICHMOND,VA
KEMPSVILLE CENTER FOR BEHAVIORAL HEALTH,860 KEMPSVILLE ROAD,NORFOLK,VA
LEWISGALE HOSPITAL MONTGOMERY,3700 SOUTH MAIN STREET,BLACKSBURG,VA
LEWISGALE MEDICAL CENTER,1900 ELECTRIC ROAD,SALEM,VA
NEWPORT NEWS BEHAVIORAL HEALTH CENTER,17579 WARWICK BLVD,NEWPORT NEWS,VA
NORTH SPRING BEHAVIORAL HEALTHCARE,42009 VICTORY LANE,LEESBURG,VA
THE PAVILION AT WILLIAMSBURG PLACE,5483 MOORETOWN ROAD,WILLIAMSBURG,VA
POPLAR SPRINGS HOSPITAL,350 POPLAR DRIVE,PETERSBURG,VA
LEWISGALE HOSPITAL PULASKI,2400 LEE HIGHWAY,PULASKI,VA
RESTON HOSPITAL CENTER,1850 TOWN CENTER PARKWAY,RESTON,VA
RIVERSIDE REHABILITATION HOSPITAL,250 JOSEPHS DRIVE,YORKTOWN,VA
SOVAH HEALTH - MARTINSVILLE,320 HOSPITAL DRIVE,MARTINSVILLE,VA
STONE SPRINGS HOSPITAL CENTER,24440 STONE SPRINGS BLVD,DULLES,VA
TWIN COUNTY REGIONAL HOSPITAL,200 HOSPITAL DRIVE,GALAX,VA
VIRGINIA BEACH PSYCHIATRIC CENTER,1100 FIRST COLONIAL ROAD,VIRGINIA BEACH,VA
VIBRA HOSPITAL OF RICHMOND LLC,2220 EDWARD HOLLAND DRIVE,RICHMOND,VA
WYTHE COUNTY COMMUNITY HOSPITAL,600 WEST RIDGE ROAD,WYTHEVILLE,VA
EASTERN STATE HOSPITAL,"MAPLE STREET, PO BOX A",MEDICAL LAKE,WA
MADIGAN ARMY MEDICAL CENTER,FT LEWIS,TACOMA,WA
PEACEHEALTH UNITED GENERAL MEDICAL CENTER,2000 HOSPITAL DRIVE,SEDRO-WOOLLEY,WA
MID - VALLEY HOSPITAL,810 VALLEY WAY,OMAK,WA
FRANCISCAN HEALTH ST JOSEPH MEDICAL CENTER,1717 SOUTH J ST,TACOMA,WA
MASON GENERAL HOSPITAL,901 MOUNTAIN VIEW DRIVE,SHELTON,WA
ARBOR HEALTH - MORTON GENERAL HOSPITAL,521 ADAMS ST,MORTON,WA
SNOQUALMIE VALLEY HOSPITAL DISTRICT,9575 ETHAN WADE WAY SE,SNOQUALMIE,WA
VETERANS AFFAIRS MEDICAL CENTER,77 WAINWRIGHT DRIVE,WALLA WALLA,WA
LAKE CHELAN COMMUNITY HOSPITAL,503 HIGHLAND AVE E,CHELAN,WA
NORTH VALLEY HOSPITAL,2ND AND WESTERN,TONASKET,WA
OCEAN BEACH HOSPITAL,174 1ST AVE NORTH,ILWACO,WA
WILLAPA HARBOR HOSPITAL,800 ALDER STREET,SOUTH BEND,WA
WHITMAN HOSPITAL AND MEDICAL CENTER,1200 WEST FAIRVIEW ROAD,COLFAX,WA
SKYLINE HOSPITAL,211 NE SKYLINE DR,WHITE SALMON,WA
VA PUGET SOUND HEALTH CARE SYSTEM - TACOMA,9900 VETERENS DRIVE SW,TACOMA,WA
PROVIDENCE HOLY FAMILY HOSPITAL,5633 N LIDGERWOOD,SPOKANE,WA
ODESSA MEMORIAL HEALTHCARE CENTER,502 AMENDE DR E,ODESSA,WA
OTHELLO COMMUNITY HOSPITAL,315 14TH AVE N,OTHELLO,WA
PEACEHEALTH ST. JOHN MEDICAL CENTER,1615 DELAWARE ST,LONGVIEW,WA
SKAGIT VALLEY HOSPITAL,1415 KINCAID ST E,MOUNT VERNON,WA
PROVIDENCE ST. JOSEPH'S HOSPITAL,500 WEBSTER AVE E,CHEWELAH,WA
CONFLUENCE HEALTH - CENTRAL WASHINGTON HOSPITAL,1201 SOUTH MILLER STREET,WENATCHEE,WA
EAST ADAMS RURAL HEALTHCARE,903 SOUTH ADAMS ST,RITZVILLE,WA
TRIOS HEALTH,900 AUBURN ST S,KENNEWICK,WA
KITTITAS VALLEY HEALTHCARE,603 CHESTNUT ST S,ELLENSBURG,WA
KLICKITAT VALLEY HEALTH,310 SOUTH ROOSEVELT AVE,GOLDENDALE,WA
LOURDES MEDICAL CENTER,520 4TH AVE N,PASCO,WA
PULLMAN REGIONAL HOSPITAL,1125 WASHINGTON AVE NE,PULLMAN,WA
PROVIDENCE ST. MARY MEDICAL CENTER,401 POPLAR ST W,WALLA WALLA,WA
MULTICARE DEACONESS HOSPITAL,800 WEST FIFTH AVENUE,SPOKANE,WA
SACRED HEART MEDICAL CENTER AND CHILDRENS HOSPITAL,101 8TH AVE W,SPOKANE,WA
SHRINERS HOSPITAL FOR CHILDREN,911 FIFTH AVENUE W,SPOKANE,WA
PEACEHEALTH SOUTHWEST MEDICAL CENTER,400 NE MOTHER JOSEPH PLACE,VANCOUVER,WA
SWEDISH MEDICAL CENTER - FIRST HILL,747 BROADWAY,SEATTLE,WA
MULTICARE VALLEY HOSPITAL,12606 MISSION AVE E,SPOKANE VALLEY,WA
VETERANS AFFAIRS MEDICAL CENTER,N 4815 ASSEMBLY ST,SPOKANE,WA
ST. LUKE'S REHABILITATION INSTITUTE,711 COWLEY ST S,SPOKANE,WA
MULTICARE AUBURN MEDICAL CENTER,202 NORTH DIVISION ST,AUBURN,WA
SEATTLE CHILDREN'S,4800 SANDPOINT WAY NE,SEATTLE,WA
ASTRIA TOPPENISH HOSPITAL,502 4TH AVE W,TOPPENISH,WA
UW MEDICINE - UNIVERSITY OF WASHINGTON MEDICAL CENTER,1959 PACIFIC ST NE,SEATTLE,WA
CASCADE VALLEY HOSPITAL,330 STILLAGUAMISH AVE S,ARLINGTON,WA
PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,1700 13TH STREET,EVERETT,WA
EVERGREENHEALTH MEDICAL CENTER,12040 128TH ST NE,KIRKLAND,WA
FERRY COUNTY MEMORIAL HOSPITAL,36 NORTH KLONDIKE ROAD,REPUBLIC,WA
UW MEDICINE - VALLEY MEDICAL CENTER,400 43RD ST S,RENTON,WA
NAVOS PSYCHIATRIC HOSPITAL,2600 SW HOLDEN,SEATTLE,WA
SWEDISH EDMONDS,21601 76TH AVE W,EDMONDS,WA
WESTERN STATE HOSPITAL,9601 STEILACOOM BOULEVARD SW,TACOMA,WA
THREE RIVERS HOSPITAL,507 HOSPITAL WAY,BREWSTER,WA
ST. MICHAEL MEDICAL CENTER,1800 NW MYHRE RD,SILVERDALE,WA
COULEE MEDICAL CENTER,411 FORTUYN RD,GRAND COULEE,WA
PROSSER MEMORIAL HEALTH,723 MEMORIAL ST,PROSSER,WA
PROVIDENCE CENTRALIA HOSPITAL,914 SOUTH SCHEUBER ROAD,CENTRALIA,WA
QUINCY VALLEY MEDICAL CENTER,908 10TH AVE SW,QUINCY,WA
CONFLUENCE HEALTH - WENATCHEE VALLEY HOSPITAL,820 N CHELAN AVENUE,WENATCHEE,WA
NEWPORT HOSPITAL AND HEALTH SERVICES,714 WEST PINE ST,NEWPORT,WA
GARFIELD COUNTY PUBLIC HOSPITAL DISTRICT,66 N 6TH STREET,POMEROY,WA
CASCADE MEDICAL,817 COMMERCIAL ST,LEAVENWORTH,WA
COLUMBIA BASIN HOSPITAL,200 SOUTHEAST BLVD,EPHRATA,WA
DAYTON GENERAL HOSPITAL,1012 S 3RD ST,DAYTON,WA
FORKS COMMUNITY HOSPITAL,530 BOGACHIEL WAY,FORKS,WA
GRAYS HARBOR COMMUNITY HOSPITAL,915 ANDERSON DR,ABERDEEN,WA
ISLAND HOSPITAL,1211 24TH ST,ANACORTES,WA
JEFFERSON HEALTHCARE,834 SHERIDAN ST,PORT TOWNSEND,WA
KADLEC REGIONAL MEDICAL CENTER,888 SWIFT BLVD,RICHLAND,WA
LINCOLN HOSPITAL,10 NICHOLS ST,DAVENPORT,WA
PROVIDENCE MOUNT CARMEL HOSPITAL,982 E COLUMBIA AVE,COLVILLE,WA
OLYMPIC MEMORIAL HOSPITAL,939 CAROLINE ST,PORT ANGELES,WA
